	sequences per sample	iteration	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
alpha_rarefaction_75_6.biom	75	6	139.2	252.0	92.5	188.666666667	182.25	67.25	75.5	95.6	104.0
alpha_rarefaction_75_7.biom	75	7	138.5	137.875	143.142857143	192.125	319.5	85.6	95.0	132.0	155.0
alpha_rarefaction_75_8.biom	75	8	157.0	129.111111111	569.5	144.142857143	82.0	96.25	102.0	110.333333333	114.5
alpha_rarefaction_75_9.biom	75	9	114.6	233.6	125.75	115.857142857	162.0	46.1428571429	70.5	192.75	109.666666667
alpha_rarefaction_88_0.biom	88	0	83.6	180.909090909	164.428571429	117.111111111	141.2	119.333333333	114.857142857	106.666666667	81.8
alpha_rarefaction_88_1.biom	88	1	108.666666667	236.6	191.142857143	209.0	125.666666667	120.25	93.75	244.2	90.2727272727
alpha_rarefaction_88_2.biom	88	2	103.666666667	205.666666667	162.428571429	318.0	109.428571429	62.6	151.75	140.090909091	111.428571429
alpha_rarefaction_88_3.biom	88	3	156.0	169.0	205.5	140.875	165.0	53.0	85.0	190.6	151.75
alpha_rarefaction_88_4.biom	88	4	88.1111111111	241.166666667	212.666666667	197.5	163.0	54.375	65.0909090909	234.6	105.090909091
alpha_rarefaction_88_5.biom	88	5	93.0	215.666666667	187.375	106.090909091	173.0	119.25	109.428571429	123.3	151.428571429
alpha_rarefaction_88_6.biom	88	6	119.428571429	222.142857143	198.428571429	119.6	92.75	58.2	92.25	128.75	92.1428571429
alpha_rarefaction_88_7.biom	88	7	170.5	207.5	206.5	137.272727273	113.857142857	74.5	88.1111111111	182.2	90.1111111111
alpha_rarefaction_88_8.biom	88	8	97.8	207.857142857	122.3	140.875	240.333333333	68.0	104.125	158.5	121.428571429
alpha_rarefaction_88_9.biom	88	9	171.5	207.5	193.125	259.857142857	244.0	48.1428571429	85.75	198.2	159.2
alpha_rarefaction_101_0.biom	101	0	138.0	413.2	144.1	165.111111111	196.2	97.0	134.0	184.75	92.5
alpha_rarefaction_101_1.biom	101	1	216.0	166.5	196.125	216.428571429	126.75	85.0	93.5	170.875	116.0
alpha_rarefaction_101_2.biom	101	2	117.857142857	219.125	149.25	184.75	126.142857143	71.25	102.111111111	227.2	89.6
alpha_rarefaction_101_3.biom	101	3	162.428571429	439.25	134.25	137.272727273	254.0	61.4285714286	117.111111111	114.583333333	169.0
alpha_rarefaction_101_4.biom	101	4	97.6666666667	254.625	188.545454545	187.0	233.25	121.333333333	67.0909090909	181.0	135.25
alpha_rarefaction_101_5.biom	101	5	104.666666667	247.875	210.0	208.857142857	155.5	81.1666666667	135.0	194.142857143	87.75
alpha_rarefaction_101_6.biom	101	6	119.428571429	367.0	187.333333333	115.583333333	173.5	81.8571428571	108.0	177.25	101.375
alpha_rarefaction_101_7.biom	101	7	126.75	307.142857143	176.8	195.666666667	180.2	60.75	107.1	127.909090909	125.375
alpha_rarefaction_101_8.biom	101	8	107.272727273	162.272727273	275.5	258.0	180.2	70.0	117.125	292.5	96.0909090909
alpha_rarefaction_101_9.biom	101	9	84.5454545455	287.0	148.25	319.0	114.857142857	81.1666666667	77.5	207.5	95.75
alpha_rarefaction_114_0.biom	114	0	128.75	223.111111111	299.0	176.25	110.333333333	75.5	118.111111111	178.0	139.0
alpha_rarefaction_114_1.biom	114	1	177.0	203.6	239.3	207.0	118.6	72.0	111.5	155.083333333	129.0
alpha_rarefaction_114_2.biom	114	2	87.1538461538	292.0	124.5	236.0	150.428571429	60.0	143.666666667	198.125	144.5
alpha_rarefaction_114_3.biom	114	3	130.111111111	280.625	156.083333333	248.875	127.142857143	62.3333333333	111.5	241.0	143.666666667
alpha_rarefaction_114_4.biom	114	4	155.0	370.0	156.5	227.375	165.0	121.25	104.0	161.0	115.333333333
alpha_rarefaction_114_5.biom	114	5	152.428571429	301.0	255.625	216.333333333	145.111111111	87.0	147.142857143	172.1	113.272727273
alpha_rarefaction_114_6.biom	114	6	139.875	242.25	179.363636364	318.5	151.666666667	79.5	153.428571429	183.111111111	132.142857143
alpha_rarefaction_114_7.biom	114	7	122.0	267.857142857	163.272727273	195.666666667	156.857142857	100.5	118.75	240.0	240.25
alpha_rarefaction_114_8.biom	114	8	206.5	337.428571429	163.230769231	241.0	115.111111111	106.0	153.5	184.111111111	151.166666667
alpha_rarefaction_114_9.biom	114	9	101.8	265.5	184.909090909	204.111111111	167.166666667	76.9090909091	153.428571429	205.0	117.0
alpha_rarefaction_127_0.biom	127	0	146.625	369.0	256.545454545	250.875	264.0	88.875	141.0	182.5	144.875
alpha_rarefaction_127_1.biom	127	1	164.625	298.0	184.076923077	198.75	169.875	83.625	112.272727273	223.111111111	110.090909091
alpha_rarefaction_127_2.biom	127	2	106.230769231	257.0	141.176470588	232.0	153.6	102.5	105.583333333	223.111111111	124.125
alpha_rarefaction_127_3.biom	127	3	160.857142857	249.1	165.866666667	217.1	264.0	77.5	138.25	217.333333333	124.6
alpha_rarefaction_127_4.biom	127	4	107.1	270.1	174.0	252.333333333	146.111111111	68.3	102.0	145.214285714	106.0
alpha_rarefaction_127_5.biom	127	5	98.75	277.3	189.230769231	217.1	175.0	139.0	124.0	242.25	213.0
alpha_rarefaction_127_6.biom	127	6	139.0	325.125	188.230769231	160.461538462	178.0	88.875	154.5	210.666666667	115.272727273
alpha_rarefaction_127_7.biom	127	7	245.2	300.25	220.090909091	182.363636364	185.0	94.1428571429	105.583333333	190.545454545	107.0
alpha_rarefaction_127_8.biom	127	8	178.25	261.666666667	184.076923077	265.5	176.25	108.0	105.461538462	216.333333333	167.0
alpha_rarefaction_127_9.biom	127	9	141.090909091	307.0	202.333333333	198.5	234.6	108.0	147.625	230.0	160.0
alpha_rarefaction_140_0.biom	140	0	150.111111111	275.090909091	202.214285714	196.461538462	222.142857143	90.0	136.545454545	183.5	131.3
alpha_rarefaction_140_1.biom	140	1	191.375	380.25	188.0	222.583333333	165.5	78.5	121.75	210.0	135.1
alpha_rarefaction_140_2.biom	140	2	166.111111111	353.125	190.2	229.272727273	164.111111111	85.625	114.5	198.75	148.666666667
alpha_rarefaction_140_3.biom	140	3	146.1	353.125	183.3125	201.769230769	160.0	78.3333333333	117.583333333	235.6	123.909090909
alpha_rarefaction_140_4.biom	140	4	202.428571429	301.5	217.153846154	223.090909091	182.111111111	94.25	122.75	198.272727273	131.3
alpha_rarefaction_140_5.biom	140	5	178.25	353.125	195.461538462	243.3	175.8	85.0	130.909090909	203.090909091	131.3
alpha_rarefaction_140_6.biom	140	6	151.3	371.75	200.769230769	216.75	171.1	86.0	113.076923077	216.1	138.111111111
alpha_rarefaction_140_7.biom	140	7	141.0	275.090909091	173.882352941	193.0	164.111111111	94.25	126.0	188.833333333	131.3
alpha_rarefaction_140_8.biom	140	8	143.090909091	331.666666667	179.75	200.75	182.111111111	89.875	114.5	273.5	147.666666667
alpha_rarefaction_140_9.biom	140	9	166.111111111	309.1	211.615384615	223.583333333	188.333333333	110.142857143	131.909090909	209.8	152.625
