	sequences per sample	iteration	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
alpha_rarefaction_49_6.biom	49	6	3.97789	4.11513	2.88939	3.71313	3.4165	3.3724	2.85272	4.27493	4.15684
alpha_rarefaction_49_7.biom	49	7	3.46835	4.79921	2.73877	4.12647	2.36643	3.20183	2.74821	4.00438	4.38778
alpha_rarefaction_49_8.biom	49	8	3.76224	4.17674	2.95133	3.66481	2.65056	3.4296	2.79977	4.56175	3.74065
alpha_rarefaction_49_9.biom	49	9	4.31439	4.35642	3.55522	4.00159	2.50316	3.16069	2.82098	4.04655	4.1616
alpha_rarefaction_62_0.biom	62	0	4.07523	4.47309	3.97621	4.2857	3.17784	3.37057	3.07268	4.79043	5.02945
alpha_rarefaction_62_1.biom	62	1	4.17473	5.27172	3.58968	4.76393	2.3879	3.79426	2.90712	4.49676	4.57316
alpha_rarefaction_62_2.biom	62	2	3.74742	5.31702	3.38469	4.01673	3.73984	3.79683	2.78137	4.74739	5.10186
alpha_rarefaction_62_3.biom	62	3	4.10558	4.79378	3.37896	4.82228	3.183	3.76943	2.37487	5.08889	4.98084
alpha_rarefaction_62_4.biom	62	4	3.48793	4.58119	4.02967	4.43015	3.64761	3.51895	3.00329	5.11751	4.81489
alpha_rarefaction_62_5.biom	62	5	4.39295	4.93398	3.72741	4.04909	3.28573	3.56401	3.16744	4.41683	4.70247
alpha_rarefaction_62_6.biom	62	6	4.74112	5.4646	3.40824	4.44565	3.26898	3.304	2.74517	3.98656	4.25048
alpha_rarefaction_62_7.biom	62	7	4.42502	4.90332	4.05646	4.27535	3.47909	3.5229	3.31501	4.64069	4.93783
alpha_rarefaction_62_8.biom	62	8	3.84006	4.70718	3.34182	3.8215	3.70776	3.66721	3.18106	4.77275	4.81197
alpha_rarefaction_62_9.biom	62	9	5.25146	5.2073	3.64361	4.53474	3.25483	3.92461	3.0117	4.69769	4.8452
alpha_rarefaction_75_0.biom	75	0	4.21542	5.38872	3.79262	3.89933	3.8888	4.2255	3.58828	5.70052	4.99849
alpha_rarefaction_75_1.biom	75	1	4.71788	5.07722	3.52529	5.00927	4.07025	3.99248	3.30991	4.7362	5.61633
alpha_rarefaction_75_2.biom	75	2	5.24883	5.87684	3.71793	4.609	3.45791	3.29582	3.22076	5.36022	5.20664
alpha_rarefaction_75_3.biom	75	3	5.09471	4.99751	3.39726	4.91803	3.73068	4.01025	3.5039	4.95593	5.45109
alpha_rarefaction_75_4.biom	75	4	4.89292	5.822	4.19706	4.43102	3.18077	3.93822	3.76576	5.43974	5.30466
alpha_rarefaction_75_5.biom	75	5	5.24499	5.60745	3.78023	4.56282	3.36974	4.01503	3.3766	5.54157	5.41732
alpha_rarefaction_75_6.biom	75	6	4.87037	4.99465	3.83401	4.8439	3.64942	3.56531	3.22489	5.28485	4.72402
alpha_rarefaction_75_7.biom	75	7	4.06877	5.11225	4.22069	5.18083	4.02779	3.89153	3.23232	5.50219	5.02404
alpha_rarefaction_75_8.biom	75	8	5.33251	4.89069	3.95768	4.3459	3.83174	3.91075	3.06556	5.24578	5.32071
alpha_rarefaction_75_9.biom	75	9	4.36157	5.33359	3.69345	4.32727	3.63099	3.36349	2.90796	4.99279	5.27907
alpha_rarefaction_88_0.biom	88	0	5.23463	6.0089	3.7747	4.3979	3.93409	4.32846	3.44301	5.57069	5.35309
alpha_rarefaction_88_1.biom	88	1	4.67326	5.73864	4.07566	4.8434	3.9225	4.18137	3.46914	5.86427	5.64208
alpha_rarefaction_88_2.biom	88	2	5.51853	6.02788	4.1036	4.62178	4.32916	4.00148	3.01471	6.23679	5.48104
alpha_rarefaction_88_3.biom	88	3	5.19728	5.52929	4.41126	4.28741	4.37858	4.03238	3.65309	5.64977	5.42527
alpha_rarefaction_88_4.biom	88	4	5.35741	5.7998	4.18475	4.93902	4.11702	4.01493	3.62639	5.65356	5.84608
alpha_rarefaction_88_5.biom	88	5	4.67856	6.13433	4.28634	4.68719	4.15698	4.0977	3.47164	5.8022	6.13998
alpha_rarefaction_88_6.biom	88	6	5.27363	5.78891	4.07544	4.34727	3.77722	3.86858	3.58694	5.70604	5.44467
alpha_rarefaction_88_7.biom	88	7	4.78006	5.337	4.16186	4.89595	3.44721	3.98817	3.69041	5.0046	5.43607
alpha_rarefaction_88_8.biom	88	8	4.73832	5.86926	3.9259	4.71957	3.92868	3.94367	3.62537	5.97552	5.5888
alpha_rarefaction_88_9.biom	88	9	5.49352	5.21108	4.40332	5.3121	4.22598	3.88034	3.59632	5.50511	5.53605
alpha_rarefaction_101_0.biom	101	0	5.453	6.65769	4.12742	5.313	4.52687	4.58781	4.09646	6.3336	5.88375
alpha_rarefaction_101_1.biom	101	1	5.7124	5.87423	4.31314	5.46919	4.66853	4.15169	3.50981	5.93599	5.91131
alpha_rarefaction_101_2.biom	101	2	5.59295	6.24375	4.50893	5.03059	4.23829	3.93589	3.6853	5.68415	5.58038
alpha_rarefaction_101_3.biom	101	3	5.20176	6.46377	4.39293	5.34538	4.75482	4.09315	3.90938	5.77026	5.94766
alpha_rarefaction_101_4.biom	101	4	5.3012	6.40276	4.5394	4.88367	4.23443	4.04347	3.72692	6.2382	6.03542
alpha_rarefaction_101_5.biom	101	5	5.31347	6.27359	4.48196	5.21844	4.66077	4.29781	3.81539	6.11847	5.78923
alpha_rarefaction_101_6.biom	101	6	5.19868	6.43329	4.50777	5.16013	4.15427	4.19529	3.41517	6.11324	5.53643
alpha_rarefaction_101_7.biom	101	7	5.30322	6.29015	4.58956	5.34901	4.37338	4.17374	3.75498	6.15546	5.8886
alpha_rarefaction_101_8.biom	101	8	5.70572	6.39546	4.40385	5.32689	3.98447	4.06565	3.19557	5.81262	5.73111
alpha_rarefaction_101_9.biom	101	9	4.6506	6.21002	4.46031	5.38718	4.17897	4.23339	3.66587	5.70544	5.63556
alpha_rarefaction_114_0.biom	114	0	5.84027	6.59435	4.97965	5.70511	4.38095	4.54778	3.97992	6.62378	5.83512
alpha_rarefaction_114_1.biom	114	1	5.88951	6.56276	4.95724	5.23911	4.59289	4.33877	3.96446	6.37494	6.14313
alpha_rarefaction_114_2.biom	114	2	5.20939	6.28816	4.5578	5.73409	4.54809	4.1322	4.12353	6.60624	5.82981
alpha_rarefaction_114_3.biom	114	3	5.71947	6.62639	4.7225	5.82664	4.49792	4.18834	3.89623	6.71588	5.93643
alpha_rarefaction_114_4.biom	114	4	5.64279	6.72156	4.78258	5.47535	4.41386	4.24461	4.05348	6.04506	5.81832
alpha_rarefaction_114_5.biom	114	5	5.88471	6.55377	4.81889	5.75775	4.82891	4.22944	4.05235	6.6281	6.21266
alpha_rarefaction_114_6.biom	114	6	6.12243	6.46702	4.70955	5.75573	4.82382	4.5482	3.98949	6.22061	5.78975
alpha_rarefaction_114_7.biom	114	7	6.06653	6.57862	4.79201	5.21117	4.80962	4.57596	4.23157	6.21912	6.16839
alpha_rarefaction_114_8.biom	114	8	6.01921	6.54459	4.54179	5.93323	4.65678	4.62142	4.1654	6.44045	5.97116
alpha_rarefaction_114_9.biom	114	9	5.86211	6.39539	4.55583	5.23829	4.49706	4.66363	3.79926	6.24917	5.88186
alpha_rarefaction_127_0.biom	127	0	5.99066	7.06444	5.39382	5.72992	5.16242	4.66033	4.31455	7.06974	6.12359
alpha_rarefaction_127_1.biom	127	1	5.62742	7.0833	5.09148	6.11896	4.94174	4.57629	4.1921	7.0851	6.26543
alpha_rarefaction_127_2.biom	127	2	6.03428	7.01962	4.86758	5.93224	5.18698	4.70112	4.23527	6.7665	5.97635
alpha_rarefaction_127_3.biom	127	3	5.85381	6.66765	5.12027	5.86717	5.02198	4.26858	4.0394	6.89124	6.16353
alpha_rarefaction_127_4.biom	127	4	5.34325	6.89688	5.12789	5.69246	4.99964	4.61063	4.27424	6.6864	6.17893
alpha_rarefaction_127_5.biom	127	5	5.74781	6.94601	5.06506	5.86073	5.02021	4.75094	4.2483	6.98699	6.14201
alpha_rarefaction_127_6.biom	127	6	5.57161	6.65938	4.9289	5.6495	4.763	4.70194	4.17149	6.8546	6.2966
alpha_rarefaction_127_7.biom	127	7	5.97526	6.82762	4.91945	5.72802	4.7712	4.53242	4.22605	6.81625	6.19771
alpha_rarefaction_127_8.biom	127	8	6.10455	6.88065	4.95181	5.87258	5.02974	4.70675	4.20823	6.56149	6.23437
alpha_rarefaction_127_9.biom	127	9	6.14788	6.70022	5.09072	6.04486	4.95078	4.79115	3.96441	7.00569	6.29231
alpha_rarefaction_140_0.biom	140	0	5.8675	7.27396	5.32105	6.09634	5.28751	4.84129	4.50866	6.89202	6.37879
alpha_rarefaction_140_1.biom	140	1	6.37777	7.30787	5.3353	6.23909	4.89693	4.82237	4.37941	7.10006	6.39768
alpha_rarefaction_140_2.biom	140	2	6.29173	7.15251	5.43603	6.20908	5.1723	4.62485	4.44017	6.92792	6.48254
alpha_rarefaction_140_3.biom	140	3	6.34858	7.0663	5.46164	6.18	5.32575	4.68427	4.41954	7.2513	6.42201
alpha_rarefaction_140_4.biom	140	4	6.24099	7.37951	5.45563	6.22405	5.30964	4.78352	4.31317	7.158	6.30629
alpha_rarefaction_140_5.biom	140	5	6.27189	7.23478	5.29168	6.0465	5.39831	4.56269	4.48697	7.12202	6.48785
alpha_rarefaction_140_6.biom	140	6	6.29838	7.38809	5.30539	6.21716	5.34718	4.82561	4.48168	7.12269	6.41341
alpha_rarefaction_140_7.biom	140	7	5.73288	7.21754	5.44909	5.96804	5.02996	4.83622	4.48617	6.90446	6.37072
alpha_rarefaction_140_8.biom	140	8	6.30331	7.36901	5.45516	5.82226	5.20835	4.72247	4.38934	7.10296	6.42822
alpha_rarefaction_140_9.biom	140	9	6.2807	7.26158	5.36689	6.26648	5.30388	4.84129	4.49262	7.05952	6.21838
